name,image_name,model,class
apple,.\images\coco\000000006012.jpg,.\weights\yolo11n-coco-distilled.pt,1
backpack,.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt,1
banana,.\images\coco\000000003661.jpg,.\weights\yolo11n-coco-distilled.pt,1
banana,.\images\coco\000000003661.jpg,.\weights\yolo11n-coco.pt,3
banana,.\images\coco\000000003661.jpg,.\weights\yolo11s-coco.pt,4
banana,.\images\coco\000000006012.jpg,.\weights\yolo11n-coco-distilled.pt,2
banana,.\images\coco\000000006012.jpg,.\weights\yolo11n-coco.pt,6
banana,.\images\coco\000000006012.jpg,.\weights\yolo11s-coco.pt,5
banana,.\images\coco\000000008844.jpg,.\weights\yolo11n-coco-distilled.pt,2
bear,.\images\coco\000000000285.jpg,.\weights\yolo11n-coco-distilled.pt,1
bear,.\images\coco\000000000285.jpg,.\weights\yolo11n-coco.pt,1
bear,.\images\coco\000000000285.jpg,.\weights\yolo11s-coco.pt,1
bench,.\images\coco\000000013546.jpg,.\weights\yolo11n-coco-distilled.pt,1
bench,.\images\coco\000000013546.jpg,.\weights\yolo11n-coco.pt,1
bench,.\images\coco\000000013546.jpg,.\weights\yolo11s-coco.pt,1
bicycle,.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt,1
bicycle,.\images\coco\000000011197.jpg,.\weights\yolo11s-coco.pt,1
bird,.\images\coco\000000023230.jpg,.\weights\yolo11n-coco-distilled.pt,2
bottle,.\images\coco\000000013729.jpg,.\weights\yolo11n-coco.pt,1
bottle,.\images\coco\000000013729.jpg,.\weights\yolo11s-coco.pt,1
bottle,.\images\coco\000000022705.jpg,.\weights\yolo11n-coco-distilled.pt,1
bottle,.\images\coco\000000022705.jpg,.\weights\yolo11n-coco.pt,1
bottle,.\images\coco\000000022705.jpg,.\weights\yolo11s-coco.pt,1
bowl,.\images\coco\000000003501.jpg,.\weights\yolo11n-coco-distilled.pt,1
bowl,.\images\coco\000000003501.jpg,.\weights\yolo11n-coco.pt,1
bowl,.\images\coco\000000003501.jpg,.\weights\yolo11s-coco.pt,1
bowl,.\images\coco\000000015254.jpg,.\weights\yolo11n-coco-distilled.pt,4
bowl,.\images\coco\000000015254.jpg,.\weights\yolo11n-coco.pt,4
bowl,.\images\coco\000000015254.jpg,.\weights\yolo11s-coco.pt,4
bowl,.\images\coco\000000022705.jpg,.\weights\yolo11n-coco-distilled.pt,1
bowl,.\images\coco\000000023781.jpg,.\weights\yolo11n-coco-distilled.pt,1
bowl,.\images\coco\000000023781.jpg,.\weights\yolo11n-coco.pt,1
bowl,.\images\coco\000000023781.jpg,.\weights\yolo11s-coco.pt,2
broccoli,.\images\coco\000000003501.jpg,.\weights\yolo11n-coco-distilled.pt,2
broccoli,.\images\coco\000000003501.jpg,.\weights\yolo11n-coco.pt,2
broccoli,.\images\coco\000000003501.jpg,.\weights\yolo11s-coco.pt,2
broccoli,.\images\coco\000000015278.jpg,.\weights\yolo11n-coco-distilled.pt,3
broccoli,.\images\coco\000000015278.jpg,.\weights\yolo11n-coco.pt,5
broccoli,.\images\coco\000000015278.jpg,.\weights\yolo11s-coco.pt,4
broccoli,.\images\coco\000000019221.jpg,.\weights\yolo11n-coco-distilled.pt,1
broccoli,.\images\coco\000000019221.jpg,.\weights\yolo11n-coco.pt,2
broccoli,.\images\coco\000000019221.jpg,.\weights\yolo11s-coco.pt,2
broccoli,.\images\coco\000000023781.jpg,.\weights\yolo11n-coco-distilled.pt,1
cake,.\images\coco\000000013597.jpg,.\weights\yolo11n-coco-distilled.pt,1
car,.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt,6
car,.\images\coco\000000011197.jpg,.\weights\yolo11n-coco.pt,3
car,.\images\coco\000000011197.jpg,.\weights\yolo11s-coco.pt,4
car,.\images\coco\000000013546.jpg,.\weights\yolo11n-coco-distilled.pt,1
car,.\images\coco\000000013546.jpg,.\weights\yolo11s-coco.pt,1
