,name,class,confidence,box,image_name,model
0,bear,21.0,0.86278,"{'x1': 2.19006, 'y1': 65.74438, 'x2': 584.12512, 'y2': 636.16333}",.\images\coco\000000000285.jpg,.\weights\yolo11n-coco-distilled.pt
0,stop sign,11.0,0.95135,"{'x1': 121.00935, 'y1': 71.11001, 'x2': 255.06763, 'y2': 225.79756}",.\images\coco\000000000724.jpg,.\weights\yolo11n-coco-distilled.pt
0,teddy bear,77.0,0.74434,"{'x1': 0.35156, 'y1': 266.57635, 'x2': 322.01208, 'y2': 639.11267}",.\images\coco\000000000776.jpg,.\weights\yolo11n-coco-distilled.pt
1,teddy bear,77.0,0.63847,"{'x1': 101.24829, 'y1': 0.49976, 'x2': 426.82617, 'y2': 589.48914}",.\images\coco\000000000776.jpg,.\weights\yolo11n-coco-distilled.pt
2,teddy bear,77.0,0.34772,"{'x1': 0.0, 'y1': 50.03424, 'x2': 253.83948, 'y2': 634.61853}",.\images\coco\000000000776.jpg,.\weights\yolo11n-coco-distilled.pt
3,teddy bear,77.0,0.29092,"{'x1': 0.0, 'y1': 40.59656, 'x2': 420.24524, 'y2': 626.18262}",.\images\coco\000000000776.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.89723,"{'x1': 278.18787, 'y1': 42.89771, 'x2': 501.33215, 'y2': 388.42444}",.\images\coco\000000000785.jpg,.\weights\yolo11n-coco-distilled.pt
1,skis,30.0,0.60889,"{'x1': 208.68195, 'y1': 362.57886, 'x2': 616.18579, 'y2': 400.67688}",.\images\coco\000000000785.jpg,.\weights\yolo11n-coco-distilled.pt
0,refrigerator,72.0,0.89817,"{'x1': 240.70477, 'y1': 187.46295, 'x2': 411.10718, 'y2': 532.36652}",.\images\coco\000000000802.jpg,.\weights\yolo11n-coco-distilled.pt
1,oven,69.0,0.83048,"{'x1': 77.75055, 'y1': 286.97174, 'x2': 162.90997, 'y2': 517.41571}",.\images\coco\000000000802.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.77515,"{'x1': 287.60199, 'y1': 100.10364, 'x2': 436.70917, 'y2': 561.11444}",.\images\coco\000000000872.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.64142,"{'x1': 158.69176, 'y1': 130.17395, 'x2': 357.23267, 'y2': 609.98865}",.\images\coco\000000000872.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.73435,"{'x1': 0.67259, 'y1': 13.75714, 'x2': 443.0, 'y2': 637.65637}",.\images\coco\000000003156.jpg,.\weights\yolo11n-coco-distilled.pt
1,sink,71.0,0.28694,"{'x1': 0.0, 'y1': 157.8067, 'x2': 60.91183, 'y2': 233.39795}",.\images\coco\000000003156.jpg,.\weights\yolo11n-coco-distilled.pt
0,broccoli,50.0,0.59869,"{'x1': 122.66684, 'y1': 66.0156, 'x2': 252.77094, 'y2': 215.70186}",.\images\coco\000000003501.jpg,.\weights\yolo11n-coco-distilled.pt
1,broccoli,50.0,0.56574,"{'x1': 71.07895, 'y1': 68.56424, 'x2': 260.08691, 'y2': 359.73694}",.\images\coco\000000003501.jpg,.\weights\yolo11n-coco-distilled.pt
2,bowl,45.0,0.29361,"{'x1': 1.56768, 'y1': 5.25599, 'x2': 609.16052, 'y2': 595.8028}",.\images\coco\000000003501.jpg,.\weights\yolo11n-coco-distilled.pt
0,skateboard,36.0,0.83629,"{'x1': 156.15007, 'y1': 223.81067, 'x2': 415.26202, 'y2': 368.07825}",.\images\coco\000000003553.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.45,"{'x1': 151.25616, 'y1': 2.75772, 'x2': 416.25171, 'y2': 289.51654}",.\images\coco\000000003553.jpg,.\weights\yolo11n-coco-distilled.pt
0,banana,46.0,0.59362,"{'x1': 14.1723, 'y1': 0.8009, 'x2': 557.95691, 'y2': 347.75079}",.\images\coco\000000003661.jpg,.\weights\yolo11n-coco-distilled.pt
1,cup,41.0,0.26592,"{'x1': 563.1698, 'y1': 19.21332, 'x2': 639.64441, 'y2': 257.40338}",.\images\coco\000000003661.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.84398,"{'x1': 62.69678, 'y1': 145.99852, 'x2': 217.54861, 'y2': 461.03543}",.\images\coco\000000003934.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.75244,"{'x1': 198.56386, 'y1': 110.24258, 'x2': 238.12361, 'y2': 231.51834}",.\images\coco\000000003934.jpg,.\weights\yolo11n-coco-distilled.pt
2,person,0.0,0.63217,"{'x1': 160.48465, 'y1': 84.3069, 'x2': 205.89624, 'y2': 226.48257}",.\images\coco\000000003934.jpg,.\weights\yolo11n-coco-distilled.pt
3,person,0.0,0.59625,"{'x1': 295.02722, 'y1': 133.09201, 'x2': 325.73123, 'y2': 179.08221}",.\images\coco\000000003934.jpg,.\weights\yolo11n-coco-distilled.pt
4,couch,57.0,0.56006,"{'x1': 137.54716, 'y1': 210.95772, 'x2': 374.996, 'y2': 363.3454}",.\images\coco\000000003934.jpg,.\weights\yolo11n-coco-distilled.pt
5,person,0.0,0.44943,"{'x1': 43.27184, 'y1': 78.12843, 'x2': 101.21025, 'y2': 292.32663}",.\images\coco\000000003934.jpg,.\weights\yolo11n-coco-distilled.pt
6,person,0.0,0.38819,"{'x1': 91.73467, 'y1': 88.8636, 'x2': 155.46872, 'y2': 184.97945}",.\images\coco\000000003934.jpg,.\weights\yolo11n-coco-distilled.pt
7,person,0.0,0.30595,"{'x1': 91.79237, 'y1': 87.35967, 'x2': 155.29413, 'y2': 231.4827}",.\images\coco\000000003934.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.83258,"{'x1': 139.07062, 'y1': 68.22655, 'x2': 176.29865, 'y2': 157.74962}",.\images\coco\000000005586.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.64138,"{'x1': 272.69296, 'y1': 69.13297, 'x2': 296.68228, 'y2': 111.71429}",.\images\coco\000000005586.jpg,.\weights\yolo11n-coco-distilled.pt
2,person,0.0,0.5536,"{'x1': 291.60193, 'y1': 61.3466, 'x2': 302.72522, 'y2': 102.36707}",.\images\coco\000000005586.jpg,.\weights\yolo11n-coco-distilled.pt
3,person,0.0,0.4273,"{'x1': 95.65446, 'y1': 170.53177, 'x2': 200.03891, 'y2': 239.18964}",.\images\coco\000000005586.jpg,.\weights\yolo11n-coco-distilled.pt
4,person,0.0,0.42049,"{'x1': 132.54074, 'y1': 170.49655, 'x2': 199.76144, 'y2': 225.82486}",.\images\coco\000000005586.jpg,.\weights\yolo11n-coco-distilled.pt
5,tennis racket,38.0,0.30833,"{'x1': 130.26337, 'y1': 93.28099, 'x2': 148.12891, 'y2': 103.45433}",.\images\coco\000000005586.jpg,.\weights\yolo11n-coco-distilled.pt
6,tennis racket,38.0,0.29911,"{'x1': 116.04665, 'y1': 80.45201, 'x2': 136.08836, 'y2': 89.24142}",.\images\coco\000000005586.jpg,.\weights\yolo11n-coco-distilled.pt
0,apple,47.0,0.40019,"{'x1': 200.20822, 'y1': 243.96265, 'x2': 439.94516, 'y2': 473.47961}",.\images\coco\000000006012.jpg,.\weights\yolo11n-coco-distilled.pt
1,banana,46.0,0.38446,"{'x1': 92.2789, 'y1': 18.93176, 'x2': 318.84949, 'y2': 503.90082}",.\images\coco\000000006012.jpg,.\weights\yolo11n-coco-distilled.pt
2,orange,49.0,0.37178,"{'x1': 200.18181, 'y1': 243.1134, 'x2': 439.47284, 'y2': 470.38403}",.\images\coco\000000006012.jpg,.\weights\yolo11n-coco-distilled.pt
3,banana,46.0,0.34951,"{'x1': 341.3783, 'y1': 56.28369, 'x2': 549.99054, 'y2': 501.90991}",.\images\coco\000000006012.jpg,.\weights\yolo11n-coco-distilled.pt
0,traffic light,9.0,0.63214,"{'x1': 164.83292, 'y1': 104.63626, 'x2': 184.96561, 'y2': 145.04959}",.\images\coco\000000008762.jpg,.\weights\yolo11n-coco-distilled.pt
1,traffic light,9.0,0.61734,"{'x1': 58.31346, 'y1': 84.97781, 'x2': 79.00562, 'y2': 146.43356}",.\images\coco\000000008762.jpg,.\weights\yolo11n-coco-distilled.pt
2,traffic light,9.0,0.48708,"{'x1': 86.431, 'y1': 102.43269, 'x2': 106.48897, 'y2': 126.1125}",.\images\coco\000000008762.jpg,.\weights\yolo11n-coco-distilled.pt
3,traffic light,9.0,0.34234,"{'x1': 493.8786, 'y1': 178.84479, 'x2': 515.5882, 'y2': 223.66327}",.\images\coco\000000008762.jpg,.\weights\yolo11n-coco-distilled.pt
4,traffic light,9.0,0.32308,"{'x1': 80.04472, 'y1': 226.34979, 'x2': 98.85292, 'y2': 258.28131}",.\images\coco\000000008762.jpg,.\weights\yolo11n-coco-distilled.pt
5,traffic light,9.0,0.26864,"{'x1': 503.33228, 'y1': 229.11243, 'x2': 517.15491, 'y2': 244.25391}",.\images\coco\000000008762.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.81167,"{'x1': 355.06879, 'y1': 55.078, 'x2': 581.76813, 'y2': 288.38043}",.\images\coco\000000008844.jpg,.\weights\yolo11n-coco-distilled.pt
1,banana,46.0,0.48232,"{'x1': 364.64001, 'y1': 240.83136, 'x2': 636.34583, 'y2': 393.68402}",.\images\coco\000000008844.jpg,.\weights\yolo11n-coco-distilled.pt
2,banana,46.0,0.31039,"{'x1': 2.49615, 'y1': 116.55811, 'x2': 429.8269, 'y2': 419.06879}",.\images\coco\000000008844.jpg,.\weights\yolo11n-coco-distilled.pt
3,person,0.0,0.257,"{'x1': 337.54822, 'y1': 187.5365, 'x2': 371.77502, 'y2': 247.23132}",.\images\coco\000000008844.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.82749,"{'x1': 72.80679, 'y1': 42.88805, 'x2': 482.49655, 'y2': 387.77786}",.\images\coco\000000009378.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.59431,"{'x1': 423.4046, 'y1': 335.96533, 'x2': 483.49408, 'y2': 389.96198}",.\images\coco\000000009378.jpg,.\weights\yolo11n-coco-distilled.pt
2,frisbee,29.0,0.58032,"{'x1': 189.79822, 'y1': 216.29532, 'x2': 360.46585, 'y2': 255.84668}",.\images\coco\000000009378.jpg,.\weights\yolo11n-coco-distilled.pt
3,person,0.0,0.49395,"{'x1': 315.45694, 'y1': 329.18958, 'x2': 394.46683, 'y2': 391.63156}",.\images\coco\000000009378.jpg,.\weights\yolo11n-coco-distilled.pt
4,person,0.0,0.45425,"{'x1': 539.39746, 'y1': 290.90268, 'x2': 592.6795, 'y2': 389.2565}",.\images\coco\000000009378.jpg,.\weights\yolo11n-coco-distilled.pt
5,person,0.0,0.44816,"{'x1': 499.67538, 'y1': 322.71628, 'x2': 552.70618, 'y2': 389.03925}",.\images\coco\000000009378.jpg,.\weights\yolo11n-coco-distilled.pt
6,person,0.0,0.25356,"{'x1': 397.93997, 'y1': 339.4267, 'x2': 437.29593, 'y2': 391.35095}",.\images\coco\000000009378.jpg,.\weights\yolo11n-coco-distilled.pt
0,laptop,63.0,0.84818,"{'x1': 65.42291, 'y1': 311.06915, 'x2': 264.58539, 'y2': 477.13788}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.79952,"{'x1': 315.90991, 'y1': 89.02686, 'x2': 457.26331, 'y2': 287.72278}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
2,laptop,63.0,0.75486,"{'x1': 0.05267, 'y1': 173.42767, 'x2': 102.17311, 'y2': 257.53436}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
3,person,0.0,0.72298,"{'x1': 143.55743, 'y1': 94.39279, 'x2': 296.70065, 'y2': 268.56723}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
4,laptop,63.0,0.69434,"{'x1': 263.6402, 'y1': 232.59479, 'x2': 474.41315, 'y2': 474.77704}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
5,cup,41.0,0.64385,"{'x1': 251.20914, 'y1': 379.26501, 'x2': 327.25156, 'y2': 478.77917}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
6,person,0.0,0.61108,"{'x1': 0.42382, 'y1': 84.15359, 'x2': 104.97955, 'y2': 181.68991}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
7,person,0.0,0.55925,"{'x1': 452.52966, 'y1': 94.09155, 'x2': 639.71045, 'y2': 394.20844}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
8,laptop,63.0,0.53145,"{'x1': 80.73831, 'y1': 211.92957, 'x2': 218.50824, 'y2': 279.15771}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
9,person,0.0,0.49517,"{'x1': 274.87784, 'y1': 61.31909, 'x2': 359.82022, 'y2': 192.06171}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
10,keyboard,66.0,0.4906,"{'x1': 456.3313, 'y1': 366.02795, 'x2': 587.26953, 'y2': 478.16498}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
11,laptop,63.0,0.48045,"{'x1': 0.0, 'y1': 214.15079, 'x2': 61.47831, 'y2': 309.53793}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
12,person,0.0,0.44549,"{'x1': 563.86987, 'y1': 47.03212, 'x2': 615.73071, 'y2': 126.57173}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
13,cup,41.0,0.42225,"{'x1': 353.4458, 'y1': 267.09314, 'x2': 403.94434, 'y2': 363.50439}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
14,cup,41.0,0.33216,"{'x1': 250.42503, 'y1': 408.59137, 'x2': 322.83826, 'y2': 479.16754}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
15,person,0.0,0.30092,"{'x1': 271.8324, 'y1': 61.18695, 'x2': 361.59686, 'y2': 243.97137}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
16,cup,41.0,0.28961,"{'x1': 348.87283, 'y1': 227.95801, 'x2': 404.37704, 'y2': 363.43457}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
17,laptop,63.0,0.27753,"{'x1': 75.01785, 'y1': 211.15771, 'x2': 250.53525, 'y2': 313.5813}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
18,cup,41.0,0.25034,"{'x1': 216.37985, 'y1': 258.19257, 'x2': 246.48666, 'y2': 316.09625}",.\images\coco\000000009400.jpg,.\weights\yolo11n-coco-distilled.pt
0,stop sign,11.0,0.87724,"{'x1': 250.30058, 'y1': 163.65308, 'x2': 329.9516, 'y2': 243.03802}",.\images\coco\000000011122.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.80978,"{'x1': 308.63257, 'y1': 110.17508, 'x2': 360.95386, 'y2': 254.11942}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
1,car,2.0,0.79457,"{'x1': 402.49652, 'y1': 154.4726, 'x2': 485.90094, 'y2': 192.90399}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
2,car,2.0,0.74115,"{'x1': 322.1394, 'y1': 293.79999, 'x2': 639.62238, 'y2': 422.61908}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
3,person,0.0,0.69495,"{'x1': 8.22834, 'y1': 113.0229, 'x2': 55.96137, 'y2': 188.23041}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
4,traffic light,9.0,0.57255,"{'x1': 179.04364, 'y1': 68.42938, 'x2': 188.00085, 'y2': 87.97565}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
5,car,2.0,0.49784,"{'x1': 174.93863, 'y1': 142.66005, 'x2': 215.35123, 'y2': 169.28381}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
6,traffic light,9.0,0.48412,"{'x1': 248.80862, 'y1': 22.80417, 'x2': 267.61008, 'y2': 55.3699}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
7,bicycle,1.0,0.48182,"{'x1': 551.79803, 'y1': 165.38361, 'x2': 603.55121, 'y2': 194.47198}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
8,person,0.0,0.44442,"{'x1': 567.80811, 'y1': 146.17749, 'x2': 590.36182, 'y2': 188.25867}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
9,car,2.0,0.4098,"{'x1': 174.4776, 'y1': 143.46396, 'x2': 201.14575, 'y2': 168.85617}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
10,person,0.0,0.32621,"{'x1': 207.13467, 'y1': 141.95798, 'x2': 216.02206, 'y2': 168.98276}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
11,car,2.0,0.32591,"{'x1': 135.38531, 'y1': 151.34558, 'x2': 161.38086, 'y2': 164.26556}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
12,car,2.0,0.30814,"{'x1': 175.86629, 'y1': 142.69592, 'x2': 198.2924, 'y2': 163.79504}",.\images\coco\000000011197.jpg,.\weights\yolo11n-coco-distilled.pt
0,stop sign,11.0,0.68351,"{'x1': 262.30566, 'y1': 445.08539, 'x2': 378.07123, 'y2': 619.49432}",.\images\coco\000000011615.jpg,.\weights\yolo11n-coco-distilled.pt
0,pizza,53.0,0.88364,"{'x1': 1.43102, 'y1': 381.30591, 'x2': 395.93311, 'y2': 639.30261}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
1,cup,41.0,0.87347,"{'x1': 364.08667, 'y1': 211.28796, 'x2': 457.21411, 'y2': 374.02972}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
2,dining table,60.0,0.75253,"{'x1': 5.8775, 'y1': 117.72308, 'x2': 480.0, 'y2': 637.89471}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
3,cup,41.0,0.73021,"{'x1': 141.07368, 'y1': 202.79091, 'x2': 218.55597, 'y2': 345.42822}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
4,tv,62.0,0.70951,"{'x1': 418.24799, 'y1': 39.37172, 'x2': 480.0, 'y2': 126.16768}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
5,cup,41.0,0.54276,"{'x1': 272.22375, 'y1': 117.1915, 'x2': 311.86987, 'y2': 214.05429}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
6,pizza,53.0,0.54163,"{'x1': 294.36719, 'y1': 188.43567, 'x2': 480.0, 'y2': 227.12122}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
7,cup,41.0,0.44699,"{'x1': 382.21942, 'y1': 105.43016, 'x2': 424.45441, 'y2': 171.70668}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
8,person,0.0,0.43088,"{'x1': 201.04639, 'y1': 13.90958, 'x2': 313.27502, 'y2': 153.48746}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
9,pizza,53.0,0.42903,"{'x1': 78.32361, 'y1': 177.61838, 'x2': 247.98804, 'y2': 226.97321}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
10,pizza,53.0,0.3622,"{'x1': 75.63986, 'y1': 178.4761, 'x2': 246.07712, 'y2': 209.64087}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
11,chair,56.0,0.3265,"{'x1': 166.76459, 'y1': 104.72112, 'x2': 250.45099, 'y2': 154.32796}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
12,knife,43.0,0.25375,"{'x1': 381.10291, 'y1': 405.21338, 'x2': 479.96136, 'y2': 574.38348}",.\images\coco\000000012576.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.77461,"{'x1': 475.88998, 'y1': 241.01337, 'x2': 623.75256, 'y2': 424.92657}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.76622,"{'x1': 134.40067, 'y1': 266.52722, 'x2': 274.8197, 'y2': 426.94745}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
2,person,0.0,0.75037,"{'x1': 219.97238, 'y1': 154.55161, 'x2': 294.82266, 'y2': 346.20554}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
3,person,0.0,0.71708,"{'x1': 249.80688, 'y1': 261.31146, 'x2': 370.40363, 'y2': 425.78912}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
