epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13306.5,1.1287,1.37039,1.17302,0.5574,0.422,0.44182,0.30339,1.21563,1.40957,1.20405,0.00333288,0.00333288,0.00333288
2,25573,1.25478,1.69186,1.25652,0.57048,0.40006,0.42582,0.29,1.23414,1.43596,1.23474,0.00640223,0.00640223,0.00640223
3,47798.3,1.35025,1.95525,1.32741,0.53249,0.37485,0.39457,0.26923,1.25176,1.51122,1.26073,0.00920758,0.00920758,0.00920758
4,65375.4,1.36075,1.99915,1.34184,0.5415,0.387,0.40802,0.27889,1.2373,1.48266,1.25463,0.008812,0.008812,0.008812
5,86075.7,1.31729,1.87636,1.31225,0.55991,0.40391,0.42774,0.29428,1.21875,1.43047,1.23995,0.008416,0.008416,0.008416
6,103143,1.2917,1.80504,1.29548,0.57179,0.40623,0.4362,0.30206,1.20718,1.40424,1.23151,0.00802,0.00802,0.00802
7,125457,1.27539,1.75941,1.28404,0.56736,0.41914,0.44406,0.30777,1.2001,1.38614,1.22451,0.007624,0.007624,0.007624
8,141897,1.26324,1.72365,1.27355,0.57826,0.41746,0.44835,0.31092,1.19469,1.37503,1.21973,0.007228,0.007228,0.007228
9,158622,1.25064,1.69235,1.26459,0.5688,0.42653,0.45227,0.31413,1.19023,1.36399,1.21573,0.006832,0.006832,0.006832
10,168835,1.24128,1.66551,1.2594,0.57195,0.43004,0.45656,0.31749,1.18683,1.35415,1.21275,0.006436,0.006436,0.006436
11,186185,1.23361,1.64215,1.2528,0.57549,0.43184,0.4606,0.32087,1.18232,1.3428,1.20893,0.00604,0.00604,0.00604
12,200073,1.2243,1.61887,1.24646,0.58145,0.43389,0.46429,0.32387,1.17776,1.33199,1.20508,0.005644,0.005644,0.005644
13,211545,1.21772,1.59999,1.24097,0.58517,0.43807,0.46861,0.32749,1.17336,1.32159,1.20146,0.005248,0.005248,0.005248
14,246366,1.21145,1.5813,1.23678,0.59364,0.43828,0.47199,0.32994,1.16897,1.31167,1.19796,0.004852,0.004852,0.004852
15,265626,1.20155,1.55966,1.22991,0.60199,0.43986,0.47572,0.333,1.16585,1.30306,1.1948,0.004456,0.004456,0.004456
16,275139,1.24155,1.48281,1.26503,0.60685,0.44207,0.47953,0.33563,1.16285,1.29521,1.19225,0.00406,0.00406,0.00406
17,290993,1.23057,1.45183,1.25646,0.60908,0.4439,0.483,0.33904,1.15797,1.28706,1.18826,0.003664,0.003664,0.003664
18,303113,1.21949,1.42643,1.24799,0.60956,0.44678,0.48662,0.34216,1.1547,1.27961,1.18533,0.003268,0.003268,0.003268
19,320172,1.20691,1.39787,1.2392,0.61061,0.44768,0.48901,0.34469,1.15139,1.27403,1.18258,0.002872,0.002872,0.002872
20,329341,1.19582,1.37082,1.23113,0.62303,0.44561,0.49132,0.34694,1.14892,1.26959,1.18032,0.002476,0.002476,0.002476
21,342294,1.18378,1.34426,1.22189,0.6209,0.45046,0.49419,0.34919,1.14645,1.26472,1.1776,0.00208,0.00208,0.00208
22,354167,1.17166,1.3144,1.21342,0.62001,0.45345,0.49654,0.35153,1.14463,1.26121,1.17545,0.001684,0.001684,0.001684
23,375376,1.15806,1.28837,1.20453,0.62093,0.45699,0.49915,0.35314,1.1424,1.25753,1.17297,0.001288,0.001288,0.001288
24,386966,1.14584,1.259,1.19588,0.62097,0.45777,0.50085,0.35504,1.14005,1.25445,1.17026,0.000892,0.000892,0.000892
25,396857,1.12324,1.23136,1.15476,0.62009,0.45831,0.50321,0.35204,1.14101,1.25125,1.16989,0.000663,0.000663,0.000663
