epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5995,3.66919,5.29857,4.18356,0,0,0,0,3.37337,5.35988,4.19514,0.000650407,0.000650407,0.000650407
2,75.1999,2.89509,3.75558,3.30437,0.00044,0.11765,0.00031,7e-05,2.32808,5.05264,3.25297,0.00126492,0.00126492,0.00126492
3,130.713,2.57843,2.75788,2.76582,0.05361,0.58824,0.05878,0.01546,3.06974,3.27661,4.81759,0.00182663,0.00182663,0.00182663
4,187.797,2.46688,2.38251,2.58211,0.29876,0.41176,0.22986,0.07387,2.46528,14.7574,2.6139,0.0017624,0.0017624,0.0017624
5,244.462,2.30881,1.98527,2.3971,0.585,0.55882,0.64929,0.18295,2.23742,2.23126,2.52325,0.0016832,0.0016832,0.0016832
6,305.358,2.17191,1.79834,2.28836,0.88131,0.82353,0.87101,0.30823,2.01522,2.43583,2.33871,0.001604,0.001604,0.001604
7,356.855,2.0252,1.54235,2.20803,0.75522,0.81686,0.81552,0.37319,1.89961,1.60966,2.26544,0.0015248,0.0015248,0.0015248
8,405.499,1.96738,1.50542,2.16459,0.77462,0.70767,0.81656,0.37037,1.86566,1.62707,2.15889,0.0014456,0.0014456,0.0014456
9,453.452,2.02082,1.43888,2.15773,0.7631,0.73529,0.83045,0.40298,1.88915,1.3613,2.3554,0.0013664,0.0013664,0.0013664
10,502.592,1.88725,1.34844,2.08172,0.85925,0.89797,0.92691,0.41488,1.80761,1.31276,2.13587,0.0012872,0.0012872,0.0012872
11,551.324,1.87221,1.30989,2.04933,0.8986,0.76471,0.88878,0.49326,1.62117,1.20558,2.07884,0.001208,0.001208,0.001208
12,602.481,1.85559,1.25078,2.02888,0.88659,0.91176,0.94275,0.42588,1.86914,1.48348,2.23572,0.0011288,0.0011288,0.0011288
13,650.792,1.81674,1.18735,1.97976,0.88168,0.79412,0.90117,0.47413,1.70167,1.20287,2.08899,0.0010496,0.0010496,0.0010496
14,699.999,1.77546,1.14941,1.95225,0.92573,0.85294,0.92117,0.48076,1.75228,1.19012,2.12105,0.0009704,0.0009704,0.0009704
15,750.745,1.69736,1.08707,1.86721,0.96899,0.94118,0.96386,0.56669,1.5317,0.9603,1.91573,0.0008912,0.0008912,0.0008912
16,832.628,1.65531,1.17643,1.92726,1,0.86272,0.93478,0.56676,1.39557,1.02747,1.85281,0.000812,0.000812,0.000812
17,880.91,1.6056,1.08827,1.87457,0.95648,0.88235,0.94477,0.57594,1.38305,1.05521,1.81978,0.0007328,0.0007328,0.0007328
18,929.057,1.54673,1.04453,1.83948,0.97206,0.85294,0.97258,0.5532,1.60926,0.9733,1.92364,0.0006536,0.0006536,0.0006536
19,976.325,1.53957,1.0408,1.80966,0.93232,0.94118,0.98156,0.56424,1.44959,0.94371,1.80074,0.0005744,0.0005744,0.0005744
20,1024.3,1.4903,1.01978,1.78061,0.99966,0.94118,0.99118,0.62036,1.35983,0.86918,1.76943,0.0004952,0.0004952,0.0004952
21,1071.99,1.49301,0.95544,1.77141,0.9905,0.91176,0.98216,0.64868,1.27993,0.80326,1.70739,0.000416,0.000416,0.000416
22,1092.12,1.42893,0.93004,1.73051,0.96947,0.93407,0.98743,0.63855,1.29894,0.8147,1.70917,0.0003368,0.0003368,0.0003368
23,1111.82,1.41788,0.90869,1.73146,1,0.9083,0.97804,0.62504,1.33968,0.85429,1.6901,0.0002576,0.0002576,0.0002576
24,1130.2,1.42687,0.93566,1.74366,1,0.93712,0.98453,0.67486,1.23459,0.73561,1.71549,0.0001784,0.0001784,0.0001784
25,1148.16,1.38588,0.88701,1.69347,0.99409,0.91176,0.98183,0.67958,1.18103,0.72814,1.68977,9.92e-05,9.92e-05,9.92e-05
