epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5525,1.45361,2.69904,1.28602,0.00378,1,0.01464,0.00793,1.09812,4.03679,1.1465,0.000650407,0.000650407,0.000650407
2,117.774,1.42586,1.79157,1.28387,0.90482,0.55923,0.74463,0.39493,1.701,3.54187,1.53223,0.00126492,0.00126492,0.00126492
3,161.644,1.44855,1.57208,1.3186,0.85953,0.72014,0.77154,0.33377,1.89961,2.87312,1.83638,0.00182663,0.00182663,0.00182663
4,204.949,1.38662,1.33789,1.28656,0.96966,0.94003,0.98847,0.73224,0.98335,1.19852,1.12073,0.0017624,0.0017624,0.0017624
5,253.883,1.37692,1.16281,1.26418,0.99738,0.97059,0.98917,0.73395,0.99768,0.86043,1.13384,0.0016832,0.0016832,0.0016832
6,300.318,1.34403,1.06373,1.24954,1,0.99395,0.995,0.69891,0.98483,0.81063,1.12119,0.001604,0.001604,0.001604
7,346.208,1.30083,0.97552,1.23326,1,0.93817,0.99301,0.70969,1.03891,0.82299,1.13578,0.0015248,0.0015248,0.0015248
8,392.019,1.2799,0.91393,1.2336,0.94429,0.99705,0.9904,0.75111,0.91839,0.73608,1.03522,0.0014456,0.0014456,0.0014456
9,439.141,1.28031,0.8504,1.19735,0.97045,0.96618,0.99301,0.68075,1.08279,0.7273,1.18495,0.0013664,0.0013664,0.0013664
10,479.957,1.22738,0.81468,1.19673,1,0.99831,0.995,0.67849,1.04539,0.62659,1.17139,0.0012872,0.0012872,0.0012872
11,519.527,1.1747,0.78512,1.16388,0.99513,1,0.995,0.74355,0.91792,0.56953,1.06585,0.001208,0.001208,0.001208
12,559.177,1.18289,0.74196,1.16768,1,0.98196,0.995,0.71154,0.99281,0.55931,1.07823,0.0011288,0.0011288,0.0011288
13,602.98,1.15396,0.71052,1.14345,1,0.99728,0.995,0.74878,0.96495,0.51504,1.12973,0.0010496,0.0010496,0.0010496
14,647.957,1.1376,0.71426,1.14279,0.9923,1,0.995,0.70296,1.07626,0.53043,1.14024,0.0009704,0.0009704,0.0009704
15,692.404,1.10193,0.68556,1.1196,0.95939,1,0.99357,0.75991,0.91522,0.48571,1.03717,0.0008912,0.0008912,0.0008912
16,749.21,1.043,0.65274,1.11904,0.99787,1,0.995,0.759,0.85574,0.45214,1.02269,0.000812,0.000812,0.000812
17,789.654,1.04651,0.64232,1.15252,0.96845,1,0.99357,0.766,0.89703,0.45922,1.06953,0.0007328,0.0007328,0.0007328
18,830.479,1.03874,0.63487,1.12963,0.96553,1,0.99357,0.76877,0.83607,0.47836,1.00906,0.0006536,0.0006536,0.0006536
19,870.666,1.04668,0.62889,1.12819,0.97139,0.99851,0.99443,0.78124,0.81299,0.46725,1.00277,0.0005744,0.0005744,0.0005744
20,911.916,0.95372,0.59702,1.0916,1,0.98989,0.995,0.78763,0.79946,0.44023,1.00001,0.0004952,0.0004952,0.0004952
21,954.693,0.91466,0.55573,1.07441,0.9986,1,0.995,0.78634,0.83853,0.43525,1.02945,0.000416,0.000416,0.000416
22,997.108,0.8959,0.54942,1.05476,0.99837,1,0.995,0.80208,0.77866,0.39048,0.98912,0.0003368,0.0003368,0.0003368
23,1036.18,0.86969,0.53332,1.0515,0.99952,1,0.995,0.81339,0.73216,0.4054,0.9639,0.0002576,0.0002576,0.0002576
24,1077.67,0.84736,0.51752,1.03246,0.99861,1,0.995,0.8256,0.72975,0.39057,0.97481,0.0001784,0.0001784,0.0001784
