epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.54,3.0958,5.46687,4.20427,0,0,0,0,3.39593,5.32274,4.16347,2.29819e-05,2.29819e-05,2.29819e-05
2,116.877,3.33473,5.45979,4.28612,0,0,0,0,3.39593,5.32274,4.16347,2.23929e-05,2.23929e-05,2.23929e-05
3,118.257,2.81728,5.75462,4.23904,0,0,0,0,3.39814,5.32448,4.16502,2.17805e-05,2.17805e-05,2.17805e-05
4,119.985,3.29014,5.48162,4.20016,0,0,0,0,3.39814,5.32448,4.16502,2.11444e-05,2.11444e-05,2.11444e-05
5,121.353,3.13002,5.66927,4.18462,0,0,0,0,3.39814,5.32448,4.16502,2.04848e-05,2.04848e-05,2.04848e-05
6,122.667,2.84774,5.53134,4.27672,0,0,0,0,3.39173,5.32352,4.16656,1.98016e-05,1.98016e-05,1.98016e-05
7,124.02,3.18563,5.44454,4.23908,0,0,0,0,3.39173,5.32352,4.16656,1.90949e-05,1.90949e-05,1.90949e-05
8,125.436,2.93915,5.42135,4.20535,0,0,0,0,3.39173,5.32352,4.16656,1.83646e-05,1.83646e-05,1.83646e-05
9,126.849,2.85504,5.69018,4.26867,0,0,0,0,3.3934,5.32033,4.1675,1.76107e-05,1.76107e-05,1.76107e-05
10,128.154,2.8327,5.63136,4.25051,0,0,0,0,3.3934,5.32033,4.1675,1.68333e-05,1.68333e-05,1.68333e-05
11,129.429,3.29103,5.49795,4.18843,0,0,0,0,3.3934,5.32033,4.1675,1.60323e-05,1.60323e-05,1.60323e-05
12,130.921,3.02154,5.54182,4.27223,0,0,0,0,3.3934,5.32033,4.1675,1.52077e-05,1.52077e-05,1.52077e-05
13,132.413,2.9797,5.55886,4.28738,0,0,0,0,3.39928,5.3232,4.16885,1.43596e-05,1.43596e-05,1.43596e-05
14,133.677,2.93816,5.72889,4.23214,0,0,0,0,3.39928,5.3232,4.16885,1.34879e-05,1.34879e-05,1.34879e-05
15,135.233,3.30318,5.39518,4.27913,0,0,0,0,3.39928,5.3232,4.16885,1.25927e-05,1.25927e-05,1.25927e-05
16,144.56,2.65752,5.62872,4.24598,0,0,0,0,3.39928,5.3232,4.16885,1.16739e-05,1.16739e-05,1.16739e-05
17,146.32,2.71243,5.64775,4.28353,0,0,0,0,3.39875,5.32128,4.16959,1.07315e-05,1.07315e-05,1.07315e-05
18,147.931,2.86728,5.7141,4.2362,0,0,0,0,3.39875,5.32128,4.16959,9.76562e-06,9.76562e-06,9.76562e-06
19,149.368,3.04231,5.65452,4.2161,0,0,0,0,3.39875,5.32128,4.16959,8.77613e-06,8.77613e-06,8.77613e-06
20,150.574,3.02616,5.76742,4.34853,0,0,0,0,3.39875,5.32128,4.16959,7.76308e-06,7.76308e-06,7.76308e-06
21,152.046,2.92291,5.52055,4.39334,0,0,0,0,3.39963,5.32122,4.17003,6.72648e-06,6.72648e-06,6.72648e-06
22,153.712,2.96315,5.44243,4.24669,0,0,0,0,3.39963,5.32122,4.17003,5.6663e-06,5.6663e-06,5.6663e-06
23,155.344,2.56116,5.48302,4.21336,0,0,0,0,3.39963,5.32122,4.17003,4.58257e-06,4.58257e-06,4.58257e-06
24,157.715,2.93314,5.65328,4.24018,0,0,0,0,3.39963,5.32122,4.17003,3.47528e-06,3.47528e-06,3.47528e-06
25,160.274,2.69498,5.74072,4.25461,0,0,0,0,3.39401,5.321,4.17064,2.34442e-06,2.34442e-06,2.34442e-06
