epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.022,3.04769,5.21184,4.17764,0.00238,0.00405,0.00178,0.00063,2.45552,4.02888,3.92771,8.08937e-05,8.08937e-05,8.08937e-05
2,213.548,2.96314,5.17099,3.97399,0.00152,0.05023,0.00104,0.00032,2.43408,4.14361,3.69178,0.000155803,0.000155803,0.000155803
3,314.568,2.55967,5.13309,3.42093,0.0026,0.45947,0.0084,0.00246,2.07695,4.14261,3.10612,0.00022427,0.00022427,0.00022427
4,414.627,2.04482,4.91041,2.84405,0.00333,0.67139,0.00884,0.00272,2.05913,4.10398,2.97182,0.000215013,0.000215013,0.000215013
5,516.84,1.85848,4.58154,2.49915,0.00345,0.84006,0.02251,0.00951,1.87426,3.89354,2.84248,0.00020535,0.00020535,0.00020535
6,618.766,1.72153,4.26312,2.31848,0.0041,0.91384,0.02726,0.01156,1.80112,3.57458,2.6864,0.000195688,0.000195688,0.000195688
7,716.616,1.65189,4.0764,2.21877,0.00601,0.94246,0.03177,0.01496,1.60798,3.36351,2.49029,0.000186026,0.000186026,0.000186026
8,818.229,1.55989,3.91446,2.1184,0.00564,0.95238,0.03426,0.01733,1.64499,3.2988,2.51357,0.000176363,0.000176363,0.000176363
9,919.82,1.50962,3.80637,2.04935,0.00702,0.9509,0.03835,0.02119,1.48773,3.19647,2.33938,0.000166701,0.000166701,0.000166701
10,1020.16,1.45137,3.69216,2.00176,0.00824,0.96463,0.04084,0.02345,1.50196,3.07902,2.3345,0.000157038,0.000157038,0.000157038
11,1123.1,1.40102,3.61496,1.94986,0.00912,0.96982,0.04023,0.02259,1.52675,3.06595,2.39156,0.000147376,0.000147376,0.000147376
12,1224.14,1.37843,3.55986,1.92244,0.00917,0.97262,0.04405,0.02608,1.44208,3.03123,2.23891,0.000137714,0.000137714,0.000137714
13,1323.74,1.34972,3.54222,1.89632,0.0093,0.97379,0.04232,0.02462,1.45617,2.9933,2.2354,0.000128051,0.000128051,0.000128051
14,1423.97,1.30373,3.47087,1.86863,0.00907,0.9842,0.04258,0.02427,1.43927,2.97386,2.25751,0.000118389,0.000118389,0.000118389
15,1526.4,1.30336,3.44242,1.85671,0.01074,0.98258,0.04586,0.02789,1.36541,2.92851,2.15664,0.000108726,0.000108726,0.000108726
16,1633.82,1.12859,3.53376,1.9361,0.01008,0.98375,0.05292,0.03326,1.31016,2.89458,2.08861,9.9064e-05,9.9064e-05,9.9064e-05
17,1728.18,1.0664,3.31977,1.87803,0.0339,0.63666,0.06217,0.03854,1.26142,2.82428,2.03733,8.94016e-05,8.94016e-05,8.94016e-05
18,1820.26,1.03753,3.24519,1.84887,0.04118,0.32545,0.06513,0.04089,1.24011,2.78971,2.00947,7.97392e-05,7.97392e-05,7.97392e-05
19,1914.73,0.99289,3.19213,1.7968,0.17429,0.13261,0.07174,0.04666,1.20061,2.74645,1.95435,7.00768e-05,7.00768e-05,7.00768e-05
20,2007.17,0.97897,3.13323,1.77624,0.11564,0.20443,0.06973,0.0462,1.18838,2.73628,1.9286,6.04144e-05,6.04144e-05,6.04144e-05
21,2102.97,0.98756,3.10314,1.78003,0.10918,0.21028,0.07348,0.04785,1.21221,2.72668,1.95036,5.0752e-05,5.0752e-05,5.0752e-05
22,2198.1,0.96503,3.06681,1.74767,0.15451,0.18653,0.07718,0.05083,1.18129,2.70042,1.9196,4.10896e-05,4.10896e-05,4.10896e-05
23,2293.8,0.95108,3.04419,1.74208,0.22909,0.16238,0.08042,0.05387,1.16044,2.68708,1.88691,3.14272e-05,3.14272e-05,3.14272e-05
24,2388.97,0.94466,3.02467,1.7351,0.25852,0.1564,0.08173,0.05564,1.13901,2.6787,1.87113,2.17648e-05,2.17648e-05,2.17648e-05
25,2481.46,0.91333,3.0133,1.69748,0.20237,0.16121,0.08189,0.05616,1.12967,2.66259,1.85273,1.21024e-05,1.21024e-05,1.21024e-05
