epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.507,0.69474,4.26945,1.23532,0.02681,0.74695,0.0552,0.04491,0.59175,3.54363,1.28321,8.08937e-05,8.08937e-05,8.08937e-05
2,433.524,0.67796,3.8519,1.21197,0.22246,0.20653,0.11884,0.09221,0.7368,2.94265,1.43132,0.000155803,0.000155803,0.000155803
3,632.716,0.72911,3.30468,1.24413,0.1956,0.407,0.23576,0.1797,0.82722,2.45935,1.45585,0.00022427,0.00022427,0.00022427
4,839.721,0.7391,2.90456,1.24693,0.26003,0.47378,0.30819,0.25078,0.69259,2.20826,1.32939,0.000215013,0.000215013,0.000215013
5,1066.64,0.70249,2.63179,1.21949,0.39043,0.50474,0.44601,0.35431,0.71584,1.93645,1.3748,0.00020535,0.00020535,0.00020535
6,1250.72,0.6853,2.4287,1.20304,0.38749,0.5923,0.51183,0.41527,0.683,1.7698,1.32083,0.000195688,0.000195688,0.000195688
7,1449.2,0.66235,2.28056,1.18059,0.51836,0.59062,0.56532,0.46094,0.67275,1.64141,1.30253,0.000186026,0.000186026,0.000186026
8,1632.98,0.65392,2.17009,1.18059,0.50314,0.64477,0.60079,0.49515,0.6382,1.53513,1.2688,0.000176363,0.000176363,0.000176363
9,1830.87,0.64658,2.05637,1.17268,0.49965,0.62335,0.61838,0.51171,0.65167,1.55339,1.28001,0.000166701,0.000166701,0.000166701
10,2013.58,0.62873,1.96668,1.15783,0.60205,0.62849,0.68801,0.58037,0.58971,1.35376,1.20369,0.000157038,0.000157038,0.000157038
11,2228.21,0.6161,1.87495,1.14297,0.61012,0.71278,0.72487,0.61072,0.60991,1.24323,1.21274,0.000147376,0.000147376,0.000147376
12,2420.48,0.61208,1.81892,1.13742,0.61936,0.67182,0.70833,0.609,0.54933,1.28129,1.16712,0.000137714,0.000137714,0.000137714
13,2638.16,0.5999,1.75445,1.13415,0.64499,0.73012,0.77507,0.66452,0.5669,1.15088,1.17178,0.000128051,0.000128051,0.000128051
14,2834.57,0.60422,1.72286,1.13635,0.64402,0.731,0.76335,0.66494,0.52854,1.13897,1.13171,0.000118389,0.000118389,0.000118389
15,3033.74,0.60404,1.69606,1.13527,0.63709,0.77254,0.78535,0.68686,0.54137,1.09255,1.14711,0.000108726,0.000108726,0.000108726
16,3260.21,0.45136,1.58039,1.18463,0.6876,0.7436,0.79628,0.68716,0.53956,1.07683,1.14257,9.9064e-05,9.9064e-05,9.9064e-05
17,3466.02,0.43865,1.4002,1.16779,0.75075,0.71979,0.81547,0.71498,0.51379,1.035,1.10548,8.94016e-05,8.94016e-05,8.94016e-05
18,3652.54,0.40778,1.27627,1.14641,0.74746,0.75809,0.82669,0.72476,0.51465,0.97914,1.1094,7.97392e-05,7.97392e-05,7.97392e-05
19,3851.15,0.4099,1.21693,1.1339,0.77162,0.73596,0.82665,0.72569,0.50664,0.98972,1.09452,7.00768e-05,7.00768e-05,7.00768e-05
20,4043.43,0.38426,1.16063,1.11889,0.75412,0.78658,0.83918,0.74312,0.49885,0.92154,1.08867,6.04144e-05,6.04144e-05,6.04144e-05
21,4273.03,0.38936,1.10677,1.11792,0.77287,0.79926,0.8516,0.75443,0.48967,0.88454,1.06604,5.0752e-05,5.0752e-05,5.0752e-05
22,4459.09,0.3689,1.06515,1.09819,0.80569,0.81276,0.86787,0.76827,0.48487,0.84965,1.06622,4.10896e-05,4.10896e-05,4.10896e-05
23,4706.45,0.36269,1.0303,1.09565,0.79433,0.80224,0.86401,0.77551,0.45948,0.83981,1.03512,3.14272e-05,3.14272e-05,3.14272e-05
24,4901.93,0.36327,0.99712,1.09212,0.78155,0.81277,0.87481,0.78612,0.46474,0.82189,1.04089,2.17648e-05,2.17648e-05,2.17648e-05
25,5056.13,0.35014,0.94904,1.07385,0.79213,0.81696,0.87629,0.78761,0.46183,0.80588,1.03868,1.21024e-05,1.21024e-05,1.21024e-05
