epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0709,3.68766,4.59435,3.95576,0,0,0,0,3.36381,5.29947,4.19703,0.000650407,0.000650407,0.000650407
2,108.408,2.82241,3.08862,3.19953,0.00144,0.38235,0.00164,0.00033,2.64805,5.03079,3.52198,0.00126492,0.00126492,0.00126492
3,166.216,2.54088,2.40803,2.77184,0.65208,0.08824,0.1025,0.03241,3.37797,3.88223,4.16911,0.00182663,0.00182663,0.00182663
4,216.6,2.32427,2.01916,2.55905,0.82777,0.56564,0.67803,0.23754,2.11242,2.0906,2.5855,0.0017624,0.0017624,0.0017624
5,272.945,2.17233,1.68983,2.37871,0.70886,0.67647,0.74108,0.28377,1.83677,1.81277,2.40648,0.0016832,0.0016832,0.0016832
6,341.017,2.07017,1.54904,2.23731,0.89647,0.76409,0.86951,0.46766,1.73661,1.65926,2.24591,0.001604,0.001604,0.001604
7,396.265,1.94758,1.36551,2.14712,0.74748,0.82353,0.87971,0.45013,1.81118,1.79822,2.32175,0.0015248,0.0015248,0.0015248
8,452.794,1.92808,1.38674,2.15036,0.78079,0.70588,0.82823,0.35741,1.94155,1.32161,2.3473,0.0014456,0.0014456,0.0014456
9,525.468,1.88932,1.29525,2.08451,0.8015,0.83145,0.90559,0.44292,1.71965,1.21102,2.14871,0.0013664,0.0013664,0.0013664
10,571.454,1.78358,1.15836,2.02194,0.9125,0.82353,0.92705,0.52337,1.52913,1.1102,2.10339,0.0012872,0.0012872,0.0012872
11,608.267,1.7782,1.11284,1.98327,0.89617,0.88235,0.91862,0.57051,1.58022,1.04958,2.14638,0.001208,0.001208,0.001208
12,665.178,1.75448,1.10393,1.97658,0.88604,0.91176,0.89665,0.48245,1.68412,1.04719,2.12988,0.0011288,0.0011288,0.0011288
13,724.108,1.68201,1.03227,1.89062,0.95198,0.82353,0.92479,0.53364,1.58058,1.0312,2.04634,0.0010496,0.0010496,0.0010496
14,762.263,1.64855,1.00118,1.86809,0.89774,0.97059,0.97048,0.62048,1.3514,0.95451,1.91488,0.0009704,0.0009704,0.0009704
15,799.623,1.55506,0.96306,1.78009,0.88707,0.94118,0.95718,0.58488,1.46846,0.85776,1.88493,0.0008912,0.0008912,0.0008912
16,877.139,1.50812,0.96549,1.82324,0.93191,0.91176,0.96229,0.58887,1.33495,0.86477,1.8006,0.000812,0.000812,0.000812
17,940.095,1.47082,0.90316,1.78784,0.98283,0.97059,0.99289,0.64299,1.32478,0.79787,1.84627,0.0007328,0.0007328,0.0007328
18,989.642,1.43234,0.88525,1.75873,0.96406,0.97059,0.99161,0.6315,1.31947,0.74971,1.75757,0.0006536,0.0006536,0.0006536
19,1054.13,1.42642,0.89608,1.729,1,0.96138,0.99244,0.6525,1.35297,0.89163,1.80537,0.0005744,0.0005744,0.0005744
20,1107.79,1.38848,0.85923,1.70406,0.99389,1,0.995,0.58766,1.40232,0.71549,1.97522,0.0004952,0.0004952,0.0004952
21,1170.6,1.35501,0.80975,1.67513,1,0.99517,0.995,0.66576,1.2563,0.7136,1.70123,0.000416,0.000416,0.000416
22,1210.87,1.30187,0.78236,1.63981,1,0.99496,0.995,0.62678,1.29196,0.71328,1.65455,0.0003368,0.0003368,0.0003368
23,1281.93,1.29508,0.7747,1.62938,1,0.99923,0.995,0.63496,1.29927,0.65772,1.70885,0.0002576,0.0002576,0.0002576
24,1347.59,1.30333,0.76735,1.66169,0.97126,0.994,0.99443,0.6883,1.12093,0.63123,1.61172,0.0001784,0.0001784,0.0001784
25,1407.7,1.24993,0.75714,1.58259,0.96484,0.97059,0.99301,0.69045,1.10974,0.64002,1.69171,9.92e-05,9.92e-05,9.92e-05
