epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8844.59,2.83862,4.72253,3.22867,0.35674,0.0454,0.02569,0.01249,2.02801,3.35012,2.30488,0.00333288,0.00333288,0.00333288
2,19561.2,1.77072,3.23443,1.9532,0.25639,0.15868,0.11402,0.06547,1.64,2.55401,1.8327,0.00660022,0.00660022,0.00660022
3,27942.3,1.59306,2.74545,1.7318,0.31567,0.22313,0.18356,0.11289,1.48854,2.19955,1.65213,0.00980156,0.00980156,0.00980156
4,38374.8,1.49695,2.46237,1.61357,0.37655,0.26756,0.24271,0.15531,1.39739,1.97689,1.54508,0.009703,0.009703,0.009703
5,48437.2,1.42126,2.24371,1.53258,0.40593,0.29445,0.28406,0.18646,1.33796,1.83514,1.48284,0.009604,0.009604,0.009604
6,59289.3,1.37197,2.11181,1.47845,0.4625,0.31014,0.30998,0.20579,1.30672,1.75772,1.44564,0.009505,0.009505,0.009505
7,70095.8,1.3414,2.02709,1.44547,0.47526,0.32143,0.32722,0.21862,1.28658,1.70881,1.42302,0.009406,0.009406,0.009406
8,81327.2,1.31708,1.95833,1.41942,0.47795,0.32983,0.3398,0.22796,1.27225,1.67776,1.40641,0.009307,0.009307,0.009307
9,91632.6,1.2988,1.90017,1.39909,0.48881,0.33582,0.34872,0.23488,1.26036,1.65323,1.39304,0.009208,0.009208,0.009208
10,104381,1.28135,1.85536,1.38091,0.49302,0.34242,0.35669,0.24134,1.24988,1.63186,1.38081,0.009109,0.009109,0.009109
11,117750,1.26914,1.81784,1.36484,0.50566,0.34857,0.36549,0.24824,1.23993,1.6135,1.36926,0.00901,0.00901,0.00901
12,129885,1.25919,1.78884,1.35229,0.51467,0.35499,0.37368,0.25489,1.23054,1.59501,1.35835,0.008911,0.008911,0.008911
13,138070,1.2476,1.75745,1.33802,0.52359,0.36177,0.38187,0.26151,1.22222,1.57736,1.34746,0.008812,0.008812,0.008812
14,146963,1.23794,1.73777,1.32853,0.51563,0.36641,0.39054,0.26812,1.21321,1.5586,1.33612,0.008713,0.008713,0.008713
15,157624,1.23241,1.71569,1.31984,0.52383,0.3744,0.39811,0.27447,1.20557,1.53978,1.32569,0.008614,0.008614,0.008614
16,167364,1.22484,1.69679,1.31292,0.53127,0.37782,0.40561,0.28057,1.19759,1.52071,1.31535,0.008515,0.008515,0.008515
17,177669,1.21826,1.67975,1.30463,0.54486,0.38132,0.41319,0.28695,1.18945,1.50113,1.30509,0.008416,0.008416,0.008416
18,189453,1.21168,1.66147,1.29679,0.55697,0.38661,0.42053,0.29257,1.18171,1.48251,1.29535,0.008317,0.008317,0.008317
19,198873,1.20807,1.64527,1.29116,0.56569,0.39216,0.42779,0.29847,1.17474,1.46266,1.28598,0.008218,0.008218,0.008218
20,208408,1.20633,1.63278,1.28562,0.56811,0.39838,0.43442,0.30381,1.16753,1.44392,1.27691,0.008119,0.008119,0.008119
21,218068,1.19966,1.62421,1.28227,0.57264,0.40414,0.44039,0.30882,1.16034,1.42601,1.26807,0.00802,0.00802,0.00802
22,229242,1.19585,1.61062,1.27626,0.57426,0.41042,0.44566,0.31363,1.15308,1.40779,1.25956,0.007921,0.007921,0.007921
23,239554,1.19184,1.59765,1.27168,0.57781,0.4172,0.45074,0.31789,1.14637,1.38945,1.25146,0.007822,0.007822,0.007822
24,249796,1.18807,1.59045,1.2681,0.58415,0.42194,0.45647,0.32236,1.14058,1.37398,1.24468,0.007723,0.007723,0.007723
25,258854,1.1846,1.57727,1.26404,0.58851,0.42708,0.46173,0.32619,1.13615,1.35801,1.23818,0.007624,0.007624,0.007624
