epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.341,3.03332,5.21101,4.1534,0.0005,0.00135,0.00041,0.00024,2.5354,4.0002,3.87528,8.08937e-05,8.08937e-05,8.08937e-05
2,503.074,2.62301,5.11076,3.66112,0.00291,0.65448,0.00904,0.00284,2.03184,4.30721,3.19041,0.000155803,0.000155803,0.000155803
3,768.379,2.10409,4.81381,2.98945,0.00332,0.8015,0.01012,0.00268,2.29358,4.06832,3.1455,0.00022427,0.00022427,0.00022427
4,1084.33,1.81809,4.35728,2.54324,0.00418,0.93679,0.02492,0.00838,1.93218,3.5979,2.82875,0.000215013,0.000215013,0.000215013
5,1256.21,1.6672,4.06806,2.30989,0.00518,0.96378,0.03663,0.01797,1.66122,3.34469,2.63324,0.00020535,0.00020535,0.00020535
6,1522.96,1.52988,3.80646,2.15645,0.00721,0.96781,0.03925,0.02046,1.58434,3.15414,2.48851,0.000195688,0.000195688,0.000195688
7,1749.65,1.42982,3.66833,2.05236,0.00861,0.9697,0.03848,0.02076,1.55352,3.07291,2.39031,0.000186026,0.000186026,0.000186026
8,2047.04,1.36111,3.54468,1.97634,0.01027,0.96385,0.04206,0.02442,1.4156,3.00151,2.25489,0.000176363,0.000176363,0.000176363
9,2242.24,1.32732,3.48018,1.93205,0.01954,0.93488,0.05211,0.03281,1.29324,2.92918,2.09194,0.000166701,0.000166701,0.000166701
10,2528.81,1.26892,3.38272,1.88396,0.02803,0.80176,0.05455,0.03615,1.21186,2.85442,1.99855,0.000157038,0.000157038,0.000157038
11,2785.09,1.23212,3.31146,1.84219,0.02423,0.91328,0.06061,0.03849,1.33011,2.8852,2.0887,0.000147376,0.000147376,0.000147376
12,3087.16,1.21208,3.26516,1.81462,0.02349,0.9409,0.06389,0.0434,1.1712,2.78781,1.92203,0.000137714,0.000137714,0.000137714
13,3260.11,1.1901,3.24557,1.79483,0.03246,0.76366,0.06416,0.04392,1.15144,2.77808,1.88314,0.000128051,0.000128051,0.000128051
14,3527.53,1.14289,3.18523,1.76621,0.12271,0.27241,0.07324,0.05034,1.14508,2.70381,1.86973,0.000118389,0.000118389,0.000118389
15,3707.91,1.13842,3.14839,1.75148,0.03763,0.67681,0.0722,0.05132,1.10994,2.67217,1.82536,0.000108726,0.000108726,0.000108726
16,3976.67,0.93296,3.06517,1.74056,0.06643,0.34694,0.09727,0.06861,1.05301,2.60821,1.76057,9.9064e-05,9.9064e-05,9.9064e-05
17,4219.28,0.90444,2.9014,1.70763,0.11077,0.22637,0.10979,0.07796,1.04093,2.5398,1.74358,8.94016e-05,8.94016e-05,8.94016e-05
18,4479.96,0.86886,2.81909,1.66721,0.11563,0.24839,0.1206,0.0878,1.00448,2.48188,1.69845,7.97392e-05,7.97392e-05,7.97392e-05
19,4747.85,0.83436,2.76607,1.63207,0.12642,0.31629,0.12853,0.09458,0.96278,2.45956,1.67239,7.00768e-05,7.00768e-05,7.00768e-05
20,5088.77,0.80384,2.70339,1.58566,0.12764,0.31593,0.13672,0.10369,0.94724,2.44704,1.63559,6.04144e-05,6.04144e-05,6.04144e-05
21,5301.99,0.79578,2.65615,1.58075,0.13091,0.32081,0.14303,0.10886,0.92524,2.38096,1.61273,5.0752e-05,5.0752e-05,5.0752e-05
22,5575.62,0.79366,2.61184,1.57389,0.14814,0.30822,0.16438,0.12418,0.93286,2.32124,1.6053,4.10896e-05,4.10896e-05,4.10896e-05
23,5788.4,0.77041,2.5787,1.55583,0.1305,0.32794,0.16902,0.12679,0.90622,2.31311,1.58057,3.14272e-05,3.14272e-05,3.14272e-05
24,6074.05,0.7585,2.54316,1.53909,0.14174,0.3402,0.17491,0.13412,0.89307,2.28219,1.56259,2.17648e-05,2.17648e-05,2.17648e-05
25,6313.77,0.73184,2.52167,1.50302,0.13717,0.34858,0.17518,0.13604,0.87361,2.28576,1.54172,1.21024e-05,1.21024e-05,1.21024e-05
