epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9601.82,2.80462,4.74546,3.1715,0.42647,0.02739,0.01846,0.00913,2.05699,3.47678,2.31052,0.00333288,0.00333288,0.00333288
2,19032,1.82015,3.42579,1.98601,0.2629,0.11439,0.07695,0.04361,1.71863,2.79342,1.88851,0.00640223,0.00640223,0.00640223
3,28491.3,1.66063,2.96046,1.7768,0.31898,0.17033,0.13133,0.07906,1.58616,2.4562,1.71898,0.00920758,0.00920758,0.00920758
4,37818.8,1.57399,2.68575,1.66292,0.34159,0.21435,0.17902,0.11118,1.50193,2.23151,1.61704,0.008812,0.008812,0.008812
5,47308.1,1.50396,2.48296,1.58119,0.37287,0.23452,0.21447,0.13675,1.45332,2.09751,1.55827,0.008416,0.008416,0.008416
6,56565.9,1.46079,2.35552,1.53049,0.38305,0.24931,0.23337,0.15127,1.42395,2.02181,1.52191,0.00802,0.00802,0.00802
7,65525.2,1.43292,2.27042,1.49724,0.38934,0.26249,0.24605,0.16042,1.40499,1.97335,1.49853,0.007624,0.007624,0.007624
8,74773,1.40934,2.1997,1.47239,0.40477,0.26782,0.25526,0.16747,1.39136,1.94164,1.48281,0.007228,0.007228,0.007228
9,84013.1,1.3908,2.14059,1.45085,0.41618,0.27114,0.26307,0.17331,1.37967,1.91661,1.4695,0.006832,0.006832,0.006832
10,93234.1,1.37167,2.09159,1.43228,0.42596,0.27583,0.27043,0.17865,1.3698,1.89461,1.45766,0.006436,0.006436,0.006436
11,102509,1.36136,2.04851,1.41606,0.45299,0.27893,0.27774,0.18453,1.36015,1.87499,1.44592,0.00604,0.00604,0.00604
12,113500,1.34865,2.01405,1.40369,0.46228,0.28299,0.28493,0.18983,1.35073,1.85534,1.43394,0.005644,0.005644,0.005644
13,123007,1.33588,1.97784,1.39207,0.45241,0.28896,0.29219,0.19557,1.34035,1.83526,1.42204,0.005248,0.005248,0.005248
14,132533,1.3242,1.95089,1.38085,0.47139,0.29751,0.30007,0.20155,1.33207,1.81443,1.41118,0.004852,0.004852,0.004852
15,141704,1.31704,1.92097,1.37105,0.47549,0.30229,0.30787,0.20741,1.32366,1.79394,1.40066,0.004456,0.004456,0.004456
16,149978,1.35284,1.82362,1.41324,0.48194,0.30975,0.31627,0.21379,1.31447,1.7744,1.39012,0.00406,0.00406,0.00406
17,157790,1.33991,1.78176,1.40255,0.49073,0.31704,0.32502,0.22035,1.3058,1.7568,1.38012,0.003664,0.003664,0.003664
18,165508,1.32853,1.74865,1.39088,0.49916,0.32039,0.33303,0.22634,1.29814,1.74095,1.37086,0.003268,0.003268,0.003268
19,173799,1.31604,1.71683,1.38025,0.50537,0.32597,0.34082,0.23201,1.29053,1.72625,1.36222,0.002872,0.002872,0.002872
20,181646,1.30389,1.68454,1.36994,0.51184,0.3309,0.34854,0.23794,1.28351,1.71211,1.35408,0.002476,0.002476,0.002476
21,189485,1.29176,1.65619,1.35769,0.51344,0.33738,0.35512,0.24284,1.2767,1.69736,1.3459,0.00208,0.00208,0.00208
22,197288,1.28112,1.6262,1.34879,0.50678,0.34205,0.36175,0.24794,1.27084,1.68301,1.33869,0.001684,0.001684,0.001684
23,205074,1.26677,1.59212,1.33594,0.51007,0.34655,0.36778,0.25241,1.26483,1.66766,1.33148,0.001288,0.001288,0.001288
24,213384,1.25686,1.56313,1.32727,0.52121,0.35219,0.37401,0.25722,1.2597,1.65055,1.32504,0.000892,0.000892,0.000892
25,221536,1.24461,1.53321,1.3176,0.52694,0.35697,0.37965,0.26101,1.2547,1.63067,1.31865,0.000496,0.000496,0.000496
